Internship_ID,Company,Role,Location,Stipend,Required_Skills,Description
INT_5011,DeepDive Data,Frontend Developer,Mumbai,12000,"TypeScript, Vue.js, Tailwind CSS","Join DeepDive Data as a Frontend Developer. We need expertise in TypeScript, Vue.js."
INT_5012,SparkNet,DevOps Engineer,Noida,20000,"Azure, Docker, Git, Jenkins","Join SparkNet as a DevOps Engineer. We need expertise in Azure, Docker."
INT_5013,InnovateX,QA Engineer,Delhi,8000,"Selenium, Java, Automation Testing, Python","Join InnovateX as a QA Engineer. We need expertise in Selenium, Java."
INT_5014,BlueWave,Mobile App Developer,Bangalore,10000,"iOS Development, Android Studio, Swift","Join BlueWave as a Mobile App Developer. We need expertise in iOS Development, Android Studio."
INT_5015,Nebula Data,UI/UX Designer,Chennai,5000,"CSS, Prototyping, Figma","Join Nebula Data as a UI/UX Designer. We need expertise in CSS, Prototyping."
INT_5016,Echo Systems,Software Engineer,Hyderabad,Unpaid,"Python, Git, C++, Java, Algorithms","Join Echo Systems as a Software Engineer. We need expertise in Python, Git."
INT_5017,Smart Solutions,UI/UX Designer,Pune,15000,"HTML, Adobe XD, CSS","Join Smart Solutions as a UI/UX Designer. We need expertise in HTML, Adobe XD."
INT_5018,Omega Corp,Backend Developer,Delhi,20000,"Spring Boot, Express.js, API Design","Join Omega Corp as a Backend Developer. We need expertise in Spring Boot, Express.js."
INT_5019,CodeCraft,DevOps Engineer,Noida,25000,"Jenkins, Docker, Azure","Join CodeCraft as a DevOps Engineer. We need expertise in Jenkins, Docker."
INT_5020,Galactic Soft,System Administrator,Chennai,15000,"Virtualization, Windows Server, Bash, AWS, Linux","Join Galactic Soft as a System Administrator. We need expertise in Virtualization, Windows Server."
INT_5021,Pioneer Soft,UI/UX Designer,Gurgaon,Unpaid,"User Research, Prototyping, Adobe XD","Join Pioneer Soft as a UI/UX Designer. We need expertise in User Research, Prototyping."
INT_5022,SoftSystems,Software Engineer,Noida,Unpaid,"SQL, C++, Data Structures, Git, System Design","Join SoftSystems as a Software Engineer. We need expertise in SQL, C++."
INT_5023,Nebula Data,DevOps Engineer,Pune,25000,"CI/CD, Git, Linux, Bash Scripting","Join Nebula Data as a DevOps Engineer. We need expertise in CI/CD, Git."
INT_5024,Smart Solutions,QA Engineer,Indore,5000,"JIRA, Python, Automation Testing, SQL","Join Smart Solutions as a QA Engineer. We need expertise in JIRA, Python."
INT_5025,Vertex Global,UI/UX Designer,Mumbai,15000,"Prototyping, CSS, Adobe XD, Sketch","Join Vertex Global as a UI/UX Designer. We need expertise in Prototyping, CSS."
INT_5026,Galactic Soft,UI/UX Designer,Noida,8000,"CSS, HTML, Sketch","Join Galactic Soft as a UI/UX Designer. We need expertise in CSS, HTML."
INT_5027,Nexus Solutions,Data Analyst,Mumbai,Unpaid,"Excel, SQL, Data Science","Join Nexus Solutions as a Data Analyst. We need expertise in Excel, SQL."
INT_5028,Nebula Data,Backend Developer,Noida,5000,"Java, Spring Boot, PostgreSQL, Flask, MongoDB","Join Nebula Data as a Backend Developer. We need expertise in Java, Spring Boot."
INT_5029,CyberDyne,Full Stack Developer,Indore,10000,"Express.js, React, JavaScript, Node.js, CSS","Join CyberDyne as a Full Stack Developer. We need expertise in Express.js, React."
INT_5030,LogicGate,System Administrator,Noida,12000,"Azure, Bash, Networking, Windows Server, AWS","Join LogicGate as a System Administrator. We need expertise in Azure, Bash."
INT_5031,Visionary Apps,Machine Learning Engineer,Gurgaon,8000,"TensorFlow, Python, Machine Learning, Docker","Join Visionary Apps as a Machine Learning Engineer. We need expertise in TensorFlow, Python."
INT_5032,Aether Dynamics,System Administrator,Mumbai,12000,"Linux, Networking, Azure, Virtualization, Bash","Join Aether Dynamics as a System Administrator. We need expertise in Linux, Networking."
INT_5033,Smart Solutions,Data Analyst,Remote,15000,"R, Statistics, Excel, Data Science, SQL","Join Smart Solutions as a Data Analyst. We need expertise in R, Statistics."
INT_5034,Zenith AI,Data Analyst,Chennai,25000,"Data Science, Statistics, Python, Tableau, Excel","Join Zenith AI as a Data Analyst. We need expertise in Data Science, Statistics."
INT_5035,Horizon Tech,Backend Developer,Noida,Unpaid,"PostgreSQL, Express.js, SQL","Join Horizon Tech as a Backend Developer. We need expertise in PostgreSQL, Express.js."
INT_5036,Smart Solutions,Data Scientist,Delhi,15000,"NumPy, Deep Learning, PyTorch, Pandas, TensorFlow","Join Smart Solutions as a Data Scientist. We need expertise in NumPy, Deep Learning."
INT_5037,InnovateX,Backend Developer,Indore,12000,"Flask, API Design, Spring Boot, NoSQL, SQL","Join InnovateX as a Backend Developer. We need expertise in Flask, API Design."
INT_5038,Pioneer Soft,UI/UX Designer,Bangalore,12000,"Figma, Wireframing, CSS","Join Pioneer Soft as a UI/UX Designer. We need expertise in Figma, Wireframing."
INT_5039,DataMinds,System Administrator,Pune,20000,"Virtualization, Azure, Bash, Linux","Join DataMinds as a System Administrator. We need expertise in Virtualization, Azure."
INT_5040,PrimeLogic,Data Analyst,Hyderabad,Unpaid,"R, Data Science, Tableau","Join PrimeLogic as a Data Analyst. We need expertise in R, Data Science."
INT_5041,CodeCraft,DevOps Engineer,Delhi,15000,"Jenkins, Kubernetes, Bash Scripting, Azure, CI/CD","Join CodeCraft as a DevOps Engineer. We need expertise in Jenkins, Kubernetes."
INT_5042,Galactic Soft,QA Engineer,Chennai,12000,"Automation Testing, Selenium, SQL","Join Galactic Soft as a QA Engineer. We need expertise in Automation Testing, Selenium."
INT_5043,Helios Data,Software Engineer,Remote,25000,"SQL, C++, Java, Git","Join Helios Data as a Software Engineer. We need expertise in SQL, C++."
INT_5044,Pioneer Soft,Machine Learning Engineer,Noida,15000,"Python, MLOps, Docker","Join Pioneer Soft as a Machine Learning Engineer. We need expertise in Python, MLOps."
INT_5045,Global Connect,Full Stack Developer,Gurgaon,12000,"MongoDB, CSS, React, Git, Express.js","Join Global Connect as a Full Stack Developer. We need expertise in MongoDB, CSS."
INT_5046,Future Systems,System Administrator,Mumbai,20000,"Networking, AWS, Azure, Windows Server","Join Future Systems as a System Administrator. We need expertise in Networking, AWS."
INT_5047,PrimeLogic,Frontend Developer,Noida,8000,"TypeScript, Redux, Tailwind CSS, CSS, Angular","Join PrimeLogic as a Frontend Developer. We need expertise in TypeScript, Redux."
INT_5048,InnovateX,System Administrator,Gurgaon,5000,"Bash, AWS, Azure, Linux, Networking","Join InnovateX as a System Administrator. We need expertise in Bash, AWS."
INT_5049,Helios Data,Product Manager,Delhi,10000,"SQL, Roadmapping, JIRA, Agile","Join Helios Data as a Product Manager. We need expertise in SQL, Roadmapping."
INT_5050,Solstice Tech,Data Analyst,Gurgaon,10000,"Statistics, Power BI, Data Science, Tableau, Python","Join Solstice Tech as a Data Analyst. We need expertise in Statistics, Power BI."
INT_5051,Cosmos AI,DevOps Engineer,Mumbai,15000,"Kubernetes, Linux, Jenkins, Bash Scripting","Join Cosmos AI as a DevOps Engineer. We need expertise in Kubernetes, Linux."
INT_5052,Galactic Soft,Frontend Developer,Chennai,5000,"Tailwind CSS, HTML, Redux, Vue.js","Join Galactic Soft as a Frontend Developer. We need expertise in Tailwind CSS, HTML."
INT_5053,Delta Force,DevOps Engineer,Hyderabad,Unpaid,"Linux, Docker, Bash Scripting","Join Delta Force as a DevOps Engineer. We need expertise in Linux, Docker."
INT_5054,PrimeLogic,QA Engineer,Pune,Unpaid,"Selenium, Java, Python, Manual Testing","Join PrimeLogic as a QA Engineer. We need expertise in Selenium, Java."
INT_5055,CoreSystems,DevOps Engineer,Mumbai,8000,"Bash Scripting, Linux, Kubernetes","Join CoreSystems as a DevOps Engineer. We need expertise in Bash Scripting, Linux."
INT_5056,PrimeLogic,Product Manager,Delhi,25000,"Data Analysis, SQL, Agile, JIRA","Join PrimeLogic as a Product Manager. We need expertise in Data Analysis, SQL."
INT_5057,Echo Systems,Product Manager,Pune,8000,"Data Analysis, Communication, SQL, Roadmapping, Agile","Join Echo Systems as a Product Manager. We need expertise in Data Analysis, Communication."
INT_5058,InnovateX,Machine Learning Engineer,Indore,20000,"AWS, Python, MLOps","Join InnovateX as a Machine Learning Engineer. We need expertise in AWS, Python."
INT_5059,LogicGate,QA Engineer,Bangalore,5000,"JIRA, Java, Manual Testing, Python","Join LogicGate as a QA Engineer. We need expertise in JIRA, Java."
INT_5060,Polaris Solutions,UI/UX Designer,Mumbai,12000,"Adobe XD, Wireframing, HTML, User Research","Join Polaris Solutions as a UI/UX Designer. We need expertise in Adobe XD, Wireframing."
INT_5061,LogicGate,UI/UX Designer,Gurgaon,Unpaid,"CSS, Sketch, HTML","Join LogicGate as a UI/UX Designer. We need expertise in CSS, Sketch."
INT_5062,Global Connect,Backend Developer,Delhi,20000,"Spring Boot, Flask, Java","Join Global Connect as a Backend Developer. We need expertise in Spring Boot, Flask."
INT_5063,DataMinds,System Administrator,Chennai,10000,"Azure, Networking, Linux","Join DataMinds as a System Administrator. We need expertise in Azure, Networking."
INT_5064,Meridian Soft,UI/UX Designer,Bangalore,8000,"Figma, Sketch, HTML, Adobe XD, CSS","Join Meridian Soft as a UI/UX Designer. We need expertise in Figma, Sketch."
INT_5065,Aether Dynamics,UI/UX Designer,Indore,8000,"CSS, User Research, Prototyping, Sketch, Wireframing","Join Aether Dynamics as a UI/UX Designer. We need expertise in CSS, User Research."
INT_5066,Sierra Logic,Data Scientist,Remote,20000,"SQL, Scikit-learn, NumPy, Tableau","Join Sierra Logic as a Data Scientist. We need expertise in SQL, Scikit-learn."
INT_5067,Vertex Global,Machine Learning Engineer,Noida,15000,"MLOps, PyTorch, Deep Learning","Join Vertex Global as a Machine Learning Engineer. We need expertise in MLOps, PyTorch."
INT_5068,FastTrack Soft,Backend Developer,Remote,5000,"Spring Boot, MongoDB, Java, Node.js, SQL","Join FastTrack Soft as a Backend Developer. We need expertise in Spring Boot, MongoDB."
INT_5069,CodeCraft,Full Stack Developer,Mumbai,5000,"CSS, SQL, Node.js, JavaScript, React","Join CodeCraft as a Full Stack Developer. We need expertise in CSS, SQL."
INT_5070,CoreSystems,Mobile App Developer,Pune,15000,"Swift, Flutter, Kotlin","Join CoreSystems as a Mobile App Developer. We need expertise in Swift, Flutter."
INT_5071,Quantum Bits,Software Engineer,Bangalore,10000,"C++, SQL, Algorithms, System Design, Java","Join Quantum Bits as a Software Engineer. We need expertise in C++, SQL."
INT_5072,Future Systems,Software Engineer,Bangalore,15000,"Git, Data Structures, Java, SQL","Join Future Systems as a Software Engineer. We need expertise in Git, Data Structures."
INT_5073,Vanguard Data,DevOps Engineer,Bangalore,20000,"Linux, Git, Jenkins, Bash Scripting, CI/CD","Join Vanguard Data as a DevOps Engineer. We need expertise in Linux, Git."
INT_5074,NextLevel Tech,Backend Developer,Indore,25000,"SQL, Flask, Node.js, PostgreSQL","Join NextLevel Tech as a Backend Developer. We need expertise in SQL, Flask."
INT_5075,CodeCraft,Product Manager,Gurgaon,Unpaid,"Communication, Product Management, Roadmapping","Join CodeCraft as a Product Manager. We need expertise in Communication, Product Management."
INT_5076,Polaris Solutions,UI/UX Designer,Pune,25000,"Prototyping, Wireframing, Sketch","Join Polaris Solutions as a UI/UX Designer. We need expertise in Prototyping, Wireframing."
INT_5077,Delta Force,Frontend Developer,Indore,15000,"Angular, Vue.js, HTML","Join Delta Force as a Frontend Developer. We need expertise in Angular, Vue.js."
INT_5078,CloudNet,QA Engineer,Hyderabad,20000,"Automation Testing, JIRA, SQL, Manual Testing","Join CloudNet as a QA Engineer. We need expertise in Automation Testing, JIRA."
INT_5079,Summit Digital,Backend Developer,Delhi,8000,"API Design, Java, Node.js, Express.js","Join Summit Digital as a Backend Developer. We need expertise in API Design, Java."
INT_5080,Cosmos AI,Frontend Developer,Noida,25000,"Tailwind CSS, Angular, CSS, JavaScript, Vue.js","Join Cosmos AI as a Frontend Developer. We need expertise in Tailwind CSS, Angular."
INT_5081,SoftSystems,Product Manager,Gurgaon,5000,"Roadmapping, JIRA, SQL","Join SoftSystems as a Product Manager. We need expertise in Roadmapping, JIRA."
INT_5082,Vanguard Data,Machine Learning Engineer,Remote,12000,"Docker, Python, TensorFlow","Join Vanguard Data as a Machine Learning Engineer. We need expertise in Docker, Python."
INT_5083,SparkNet,Machine Learning Engineer,Indore,10000,"Machine Learning, PyTorch, MLOps, Python","Join SparkNet as a Machine Learning Engineer. We need expertise in Machine Learning, PyTorch."
INT_5084,Apex Innovations,UI/UX Designer,Remote,8000,"Wireframing, User Research, CSS","Join Apex Innovations as a UI/UX Designer. We need expertise in Wireframing, User Research."
INT_5085,Visionary Apps,QA Engineer,Hyderabad,Unpaid,"Selenium, Automation Testing, JIRA, SQL, Python","Join Visionary Apps as a QA Engineer. We need expertise in Selenium, Automation Testing."
INT_5086,Sierra Logic,Full Stack Developer,Noida,Unpaid,"CSS, Git, JavaScript","Join Sierra Logic as a Full Stack Developer. We need expertise in CSS, Git."
INT_5087,Sierra Logic,Full Stack Developer,Indore,8000,"SQL, CSS, MongoDB, JavaScript, Git","Join Sierra Logic as a Full Stack Developer. We need expertise in SQL, CSS."
INT_5088,Nebula Data,QA Engineer,Mumbai,15000,"Manual Testing, Python, JIRA, Java","Join Nebula Data as a QA Engineer. We need expertise in Manual Testing, Python."
INT_5089,RapidScale,Frontend Developer,Mumbai,8000,"CSS, TypeScript, Vue.js, Redux, Angular","Join RapidScale as a Frontend Developer. We need expertise in CSS, TypeScript."
INT_5090,Vertex Global,Machine Learning Engineer,Indore,12000,"Docker, Deep Learning, PyTorch","Join Vertex Global as a Machine Learning Engineer. We need expertise in Docker, Deep Learning."
INT_5091,Quantum Bits,Product Manager,Gurgaon,10000,"Communication, JIRA, SQL","Join Quantum Bits as a Product Manager. We need expertise in Communication, JIRA."
INT_5092,Titan Software,Data Analyst,Remote,20000,"Statistics, Data Science, Excel","Join Titan Software as a Data Analyst. We need expertise in Statistics, Data Science."
INT_5093,CyberDyne,QA Engineer,Indore,12000,"SQL, Selenium, Automation Testing, JIRA","Join CyberDyne as a QA Engineer. We need expertise in SQL, Selenium."
INT_5094,NextLevel Tech,Machine Learning Engineer,Pune,Unpaid,"PyTorch, AWS, TensorFlow","Join NextLevel Tech as a Machine Learning Engineer. We need expertise in PyTorch, AWS."
INT_5095,Sierra Logic,System Administrator,Indore,15000,"Azure, Networking, Windows Server","Join Sierra Logic as a System Administrator. We need expertise in Azure, Networking."
INT_5096,ClearView Tech,UI/UX Designer,Bangalore,8000,"Wireframing, User Research, Adobe XD","Join ClearView Tech as a UI/UX Designer. We need expertise in Wireframing, User Research."
INT_5097,Nexus Solutions,Machine Learning Engineer,Chennai,5000,"AWS, MLOps, Python, TensorFlow, Docker","Join Nexus Solutions as a Machine Learning Engineer. We need expertise in AWS, MLOps."
INT_5098,SparkNet,System Administrator,Mumbai,25000,"Networking, Linux, Bash, Azure, Virtualization","Join SparkNet as a System Administrator. We need expertise in Networking, Linux."
INT_5099,LunaSys,System Administrator,Bangalore,8000,"Bash, Linux, Azure","Join LunaSys as a System Administrator. We need expertise in Bash, Linux."
INT_5100,ClearView Tech,System Administrator,Delhi,5000,"Linux, Networking, Azure","Join ClearView Tech as a System Administrator. We need expertise in Linux, Networking."
INT_5101,Visionary Apps,QA Engineer,Chennai,8000,"Python, Manual Testing, Java","Join Visionary Apps as a QA Engineer. We need expertise in Python, Manual Testing."
INT_5102,Visionary Apps,Data Scientist,Mumbai,8000,"Deep Learning, Pandas, Scikit-learn, Data Science","Join Visionary Apps as a Data Scientist. We need expertise in Deep Learning, Pandas."
INT_5103,FastTrack Soft,Mobile App Developer,Remote,20000,"Flutter, Java, Kotlin, iOS Development, React Native","Join FastTrack Soft as a Mobile App Developer. We need expertise in Flutter, Java."
INT_5104,Fusion Labs,System Administrator,Chennai,10000,"AWS, Azure, Networking, Windows Server, Virtualization","Join Fusion Labs as a System Administrator. We need expertise in AWS, Azure."
INT_5105,Aether Dynamics,Product Manager,Bangalore,10000,"Product Management, SQL, Roadmapping","Join Aether Dynamics as a Product Manager. We need expertise in Product Management, SQL."
INT_5106,Universal Tech,Frontend Developer,Mumbai,10000,"Angular, React, TypeScript, CSS, Vue.js","Join Universal Tech as a Frontend Developer. We need expertise in Angular, React."
INT_5107,Delta Force,Data Analyst,Indore,Unpaid,"Power BI, Tableau, Statistics, R","Join Delta Force as a Data Analyst. We need expertise in Power BI, Tableau."
INT_5108,Universal Tech,Software Engineer,Remote,25000,"Java, Data Structures, Git, SQL","Join Universal Tech as a Software Engineer. We need expertise in Java, Data Structures."
INT_5109,Future Systems,Frontend Developer,Chennai,8000,"Tailwind CSS, React, HTML, Angular, TypeScript","Join Future Systems as a Frontend Developer. We need expertise in Tailwind CSS, React."
INT_5110,TerraFirm,Machine Learning Engineer,Remote,12000,"PyTorch, Docker, MLOps","Join TerraFirm as a Machine Learning Engineer. We need expertise in PyTorch, Docker."
INT_5111,ClearView Tech,Backend Developer,Bangalore,10000,"Flask, Express.js, PostgreSQL","Join ClearView Tech as a Backend Developer. We need expertise in Flask, Express.js."
INT_5112,TechSol,Mobile App Developer,Chennai,Unpaid,"React Native, iOS Development, Swift, Android Studio","Join TechSol as a Mobile App Developer. We need expertise in React Native, iOS Development."
INT_5113,Galactic Soft,System Administrator,Pune,Unpaid,"Windows Server, Virtualization, Azure","Join Galactic Soft as a System Administrator. We need expertise in Windows Server, Virtualization."
INT_5114,Helios Data,Frontend Developer,Indore,20000,"Tailwind CSS, HTML, CSS, React, Angular","Join Helios Data as a Frontend Developer. We need expertise in Tailwind CSS, HTML."
INT_5115,CloudNet,QA Engineer,Remote,25000,"Java, Python, Manual Testing, Automation Testing, JIRA","Join CloudNet as a QA Engineer. We need expertise in Java, Python."
INT_5116,FastTrack Soft,Backend Developer,Pune,Unpaid,"Express.js, Flask, SQL","Join FastTrack Soft as a Backend Developer. We need expertise in Express.js, Flask."
INT_5117,Vertex Global,UI/UX Designer,Delhi,10000,"Figma, Adobe XD, CSS, HTML","Join Vertex Global as a UI/UX Designer. We need expertise in Figma, Adobe XD."
INT_5118,Sierra Logic,System Administrator,Hyderabad,10000,"Virtualization, Bash, AWS, Linux, Networking","Join Sierra Logic as a System Administrator. We need expertise in Virtualization, Bash."
INT_5119,ByteWorks,QA Engineer,Indore,8000,"Automation Testing, Python, Manual Testing","Join ByteWorks as a QA Engineer. We need expertise in Automation Testing, Python."
INT_5120,Pioneer Soft,UI/UX Designer,Hyderabad,10000,"Figma, CSS, Adobe XD, Wireframing","Join Pioneer Soft as a UI/UX Designer. We need expertise in Figma, CSS."
INT_5121,Polaris Solutions,Data Analyst,Pune,Unpaid,"R, Statistics, Excel, SQL, Data Science","Join Polaris Solutions as a Data Analyst. We need expertise in R, Statistics."
INT_5122,Vertex Global,Frontend Developer,Hyderabad,5000,"HTML, JavaScript, Redux","Join Vertex Global as a Frontend Developer. We need expertise in HTML, JavaScript."
INT_5123,Polaris Solutions,Product Manager,Bangalore,12000,"Product Management, Agile, Roadmapping, SQL, Communication","Join Polaris Solutions as a Product Manager. We need expertise in Product Management, Agile."
INT_5124,Global Connect,Mobile App Developer,Pune,12000,"Android Studio, Kotlin, React Native","Join Global Connect as a Mobile App Developer. We need expertise in Android Studio, Kotlin."
INT_5125,Novus Tech,Mobile App Developer,Noida,5000,"Android Studio, Swift, React Native, Kotlin","Join Novus Tech as a Mobile App Developer. We need expertise in Android Studio, Swift."
INT_5126,Aether Dynamics,Data Analyst,Chennai,12000,"Power BI, Excel, Data Science, SQL","Join Aether Dynamics as a Data Analyst. We need expertise in Power BI, Excel."
INT_5127,Vanguard Data,Data Analyst,Bangalore,20000,"Power BI, Excel, Data Science, Python","Join Vanguard Data as a Data Analyst. We need expertise in Power BI, Excel."
INT_5128,Global Connect,Data Scientist,Mumbai,20000,"Scikit-learn, NumPy, Pandas, Tableau","Join Global Connect as a Data Scientist. We need expertise in Scikit-learn, NumPy."
INT_5129,OrbitTech,DevOps Engineer,Noida,25000,"Git, Linux, Bash Scripting","Join OrbitTech as a DevOps Engineer. We need expertise in Git, Linux."
INT_5130,Meridian Soft,System Administrator,Pune,12000,"Azure, Linux, AWS","Join Meridian Soft as a System Administrator. We need expertise in Azure, Linux."
INT_5131,Stellar Code,Data Analyst,Delhi,8000,"Statistics, Python, SQL, Excel","Join Stellar Code as a Data Analyst. We need expertise in Statistics, Python."
INT_5132,CodeCraft,Full Stack Developer,Noida,12000,"SQL, CSS, JavaScript","Join CodeCraft as a Full Stack Developer. We need expertise in SQL, CSS."
INT_5133,Summit Digital,Frontend Developer,Gurgaon,10000,"CSS, Tailwind CSS, Angular, JavaScript, Redux","Join Summit Digital as a Frontend Developer. We need expertise in CSS, Tailwind CSS."
INT_5134,AlphaTech,Data Scientist,Mumbai,20000,"Scikit-learn, NumPy, Python, Machine Learning","Join AlphaTech as a Data Scientist. We need expertise in Scikit-learn, NumPy."
INT_5135,Aether Dynamics,System Administrator,Pune,5000,"Networking, AWS, Virtualization","Join Aether Dynamics as a System Administrator. We need expertise in Networking, AWS."
INT_5136,Zenith AI,UI/UX Designer,Gurgaon,8000,"Prototyping, CSS, Figma, HTML, Sketch","Join Zenith AI as a UI/UX Designer. We need expertise in Prototyping, CSS."
INT_5137,Helios Data,Mobile App Developer,Indore,8000,"Kotlin, iOS Development, Java","Join Helios Data as a Mobile App Developer. We need expertise in Kotlin, iOS Development."
INT_5138,Solstice Tech,Backend Developer,Chennai,12000,"Express.js, PostgreSQL, Spring Boot, Node.js","Join Solstice Tech as a Backend Developer. We need expertise in Express.js, PostgreSQL."
INT_5139,SoftSystems,Frontend Developer,Indore,20000,"React, HTML, CSS, TypeScript, Vue.js","Join SoftSystems as a Frontend Developer. We need expertise in React, HTML."
INT_5140,ClearView Tech,Data Scientist,Noida,20000,"Pandas, Deep Learning, Python","Join ClearView Tech as a Data Scientist. We need expertise in Pandas, Deep Learning."
INT_5141,Delta Force,QA Engineer,Pune,8000,"Java, Automation Testing, JIRA, Manual Testing","Join Delta Force as a QA Engineer. We need expertise in Java, Automation Testing."
INT_5142,Galactic Soft,Backend Developer,Noida,8000,"PostgreSQL, MongoDB, Java, Express.js","Join Galactic Soft as a Backend Developer. We need expertise in PostgreSQL, MongoDB."
INT_5143,Vertex Global,QA Engineer,Remote,25000,"Python, SQL, JIRA, Manual Testing, Java","Join Vertex Global as a QA Engineer. We need expertise in Python, SQL."
INT_5144,TechSol,Software Engineer,Remote,25000,"C++, Python, Java, System Design, Algorithms","Join TechSol as a Software Engineer. We need expertise in C++, Python."
INT_5145,NextLevel Tech,Product Manager,Mumbai,8000,"Product Management, JIRA, Communication, SQL, Agile","Join NextLevel Tech as a Product Manager. We need expertise in Product Management, JIRA."
INT_5146,Universal Tech,Backend Developer,Hyderabad,8000,"SQL, Express.js, Java","Join Universal Tech as a Backend Developer. We need expertise in SQL, Express.js."
INT_5147,Aether Dynamics,Software Engineer,Pune,15000,"C++, Python, System Design, Algorithms, Data Structures","Join Aether Dynamics as a Software Engineer. We need expertise in C++, Python."
INT_5148,ClearView Tech,System Administrator,Indore,15000,"Bash, Azure, Virtualization","Join ClearView Tech as a System Administrator. We need expertise in Bash, Azure."
INT_5149,Delta Force,DevOps Engineer,Hyderabad,8000,"Kubernetes, AWS, Jenkins","Join Delta Force as a DevOps Engineer. We need expertise in Kubernetes, AWS."
INT_5150,Meridian Soft,Product Manager,Remote,Unpaid,"Communication, Product Management, JIRA, Agile","Join Meridian Soft as a Product Manager. We need expertise in Communication, Product Management."
INT_5151,Future Systems,DevOps Engineer,Pune,10000,"Git, Jenkins, Linux","Join Future Systems as a DevOps Engineer. We need expertise in Git, Jenkins."
INT_5152,Starlight Systems,Backend Developer,Chennai,10000,"MongoDB, API Design, Node.js","Join Starlight Systems as a Backend Developer. We need expertise in MongoDB, API Design."
INT_5153,Pioneer Soft,Product Manager,Indore,20000,"Communication, Data Analysis, JIRA","Join Pioneer Soft as a Product Manager. We need expertise in Communication, Data Analysis."
INT_5154,Nebula Data,System Administrator,Hyderabad,8000,"Networking, Bash, AWS","Join Nebula Data as a System Administrator. We need expertise in Networking, Bash."
INT_5155,Galactic Soft,UI/UX Designer,Bangalore,25000,"Wireframing, Figma, CSS","Join Galactic Soft as a UI/UX Designer. We need expertise in Wireframing, Figma."
INT_5156,Zenith AI,UI/UX Designer,Gurgaon,15000,"User Research, Figma, Prototyping","Join Zenith AI as a UI/UX Designer. We need expertise in User Research, Figma."
INT_5157,Equinox Labs,DevOps Engineer,Noida,10000,"CI/CD, Bash Scripting, Azure","Join Equinox Labs as a DevOps Engineer. We need expertise in CI/CD, Bash Scripting."
INT_5158,CloudNet,Data Scientist,Remote,15000,"Deep Learning, TensorFlow, Tableau, Scikit-learn, Data Science","Join CloudNet as a Data Scientist. We need expertise in Deep Learning, TensorFlow."
INT_5159,BlueWave,Mobile App Developer,Hyderabad,5000,"Flutter, React Native, iOS Development, Swift, Android Studio","Join BlueWave as a Mobile App Developer. We need expertise in Flutter, React Native."
INT_5160,Visionary Apps,QA Engineer,Bangalore,15000,"SQL, Manual Testing, JIRA, Selenium, Java","Join Visionary Apps as a QA Engineer. We need expertise in SQL, Manual Testing."
INT_5161,Visionary Apps,UI/UX Designer,Noida,8000,"HTML, Adobe XD, Prototyping, Wireframing","Join Visionary Apps as a UI/UX Designer. We need expertise in HTML, Adobe XD."
INT_5162,CoreSystems,DevOps Engineer,Delhi,Unpaid,"Jenkins, Linux, Docker, CI/CD","Join CoreSystems as a DevOps Engineer. We need expertise in Jenkins, Linux."
INT_5163,InnovateX,Frontend Developer,Bangalore,10000,"HTML, JavaScript, Vue.js, Angular","Join InnovateX as a Frontend Developer. We need expertise in HTML, JavaScript."
