Student_ID,Name,Skills,Preferred_Role,CGPA,Mock_OA_Score,Projects,Internships_Done,Placed_Status
2025CS10035,Student_35,"NumPy, Data Science, Pandas",Data Scientist,7.61,69,2,0,0
2025CS10036,Student_36,"JIRA, Agile, Communication, Product Management, Roadmapping, SQL",Product Manager,7.11,75,4,1,1
2025CS10037,Student_37,"Java, JIRA, Python, Manual Testing, SQL",QA Engineer,7.05,79,5,3,1
2025CS10038,Student_38,"Redux, JavaScript, React, HTML, TypeScript",Frontend Developer,6.99,61,4,3,1
2025CS10039,Student_39,"Java, JIRA, Automation Testing, SQL, Selenium",QA Engineer,6.11,89,4,2,1
2025CS10040,Student_40,"Vue.js, Tailwind CSS, CSS, HTML, TypeScript, Angular",Frontend Developer,8.98,67,4,3,1
2025CS10041,Student_41,"Linux, Networking, Windows Server, Bash, Virtualization, AWS",System Administrator,6.9,99,2,2,1
2025CS10042,Student_42,"SQL, Statistics, R, Excel",Data Analyst,7.37,93,3,2,1
2025CS10043,Student_43,"Adobe XD, Git, JavaScript, React, Node.js, Express.js",Full Stack Developer,9.61,42,6,2,1
2025CS10044,Student_44,"Communication, Data Analysis, Product Management",Product Manager,8.04,76,0,0,0
2025CS10045,Student_45,"PyTorch, Deep Learning, Machine Learning",Machine Learning Engineer,9.72,73,1,2,1
2025CS10046,Student_46,"Python, Git, C++, SQL, Data Structures",Software Engineer,7.51,59,4,3,1
2025CS10047,Student_47,"Linux, Docker, Kubernetes",DevOps Engineer,7.94,98,2,2,1
2025CS10048,Student_48,"System Design, Java, Python, Git, SQL",Software Engineer,7.27,75,2,0,0
2025CS10049,Student_49,"CSS, Figma, HTML, Prototyping, User Research",UI/UX Designer,6.97,86,5,2,1
2025CS10050,Student_50,"Automation Testing, Manual Testing, Java, Selenium",QA Engineer,9.42,64,6,1,1
2025CS10051,Student_51,"Sketch, Adobe XD, Figma, Wireframing, User Research",UI/UX Designer,8.86,65,0,1,0
2025CS10052,Student_52,"AWS, Windows Server, Networking",System Administrator,9.22,54,2,0,0
2025CS10053,Student_53,"Spring Boot, API Design, Express.js, NoSQL",Backend Developer,8.33,74,6,3,1
2025CS10054,Student_54,"Django, Flask, Node.js, MongoDB, PostgreSQL",Backend Developer,7.25,72,2,0,0
2025CS10055,Student_55,"Manual Testing, Python, Selenium",QA Engineer,9.37,87,2,1,1
2025CS10056,Student_56,"JIRA, Communication, SQL, Roadmapping",Product Manager,7.57,46,1,3,0
2025CS10057,Student_57,"iOS Development, Kotlin, Android Studio",Mobile App Developer,7.41,84,6,0,1
2025CS10058,Student_58,"Vue.js, Tailwind CSS, CSS, Redux, JavaScript, Angular",Frontend Developer,8.53,88,0,3,1
2025CS10059,Student_59,"NumPy, Python, TensorFlow, Scikit-learn, Tableau",Data Scientist,9.59,70,0,1,1
2025CS10060,Student_60,"Python, PyTorch, TensorFlow, MLOps, Machine Learning",Machine Learning Engineer,8.93,60,6,1,1
2025CS10061,Student_61,"CSS, Git, HTML, Node.js, MongoDB, Express.js",Full Stack Developer,7.25,61,6,2,1
2025CS10062,Student_62,"Flutter, Java, Android Studio, Kotlin, Swift, React Native",Mobile App Developer,7.15,61,3,2,1
2025CS10063,Student_63,"Java, Android Studio, iOS Development, Kotlin, Swift, React Native",Mobile App Developer,9.12,65,5,3,1
2025CS10064,Student_64,"Power BI, Python, Data Science, Tableau, Excel",Data Analyst,9.4,72,2,3,1
2025CS10065,Student_65,"MongoDB, Express.js, JavaScript, CSS",Full Stack Developer,6.31,82,0,0,0
2025CS10066,Student_66,"Django, SQL, PostgreSQL, NoSQL",Backend Developer,7.66,80,6,1,1
2025CS10067,Student_67,"Data Analysis, JIRA, Agile, Roadmapping, SQL",Product Manager,6.63,73,4,0,0
2025CS10068,Student_68,"Sketch, User Research, CSS",UI/UX Designer,9.83,45,5,0,1
2025CS10069,Student_69,"CI/CD, Bash Scripting, Git, Docker, Kubernetes, AWS",DevOps Engineer,8.04,48,5,2,1
2025CS10070,Student_70,"SQL, Power BI, Statistics, Excel",Data Analyst,7.79,69,5,1,1
2025CS10071,Student_71,"MongoDB, SQL, Flask, Express.js",Backend Developer,7.63,78,6,2,1
2025CS10072,Student_72,"Tableau, NumPy, TensorFlow, Deep Learning",Data Scientist,6.71,83,3,3,1
2025CS10073,Student_73,"Java, Python, C++, Algorithms, SQL, Express.js",Software Engineer,9.06,95,6,2,1
2025CS10074,Student_74,"Java, JIRA, Python, SQL, Selenium",QA Engineer,8.32,90,2,1,1
2025CS10075,Student_75,"Vue.js, Tailwind CSS, CSS, Redux, JavaScript, TypeScript",Frontend Developer,9.01,71,5,2,1
2025CS10076,Student_76,"Python, PyTorch, Pandas, Data Science, Machine Learning",Data Scientist,9.14,56,4,2,1
2025CS10077,Student_77,"Bash, Linux, AWS",System Administrator,8.06,46,1,2,0
2025CS10078,Student_78,"Django, Spring Boot, NoSQL, MongoDB, PostgreSQL",Backend Developer,8.66,70,6,1,1
2025CS10079,Student_79,"Flutter, Java, Android Studio, Swift, React Native",Mobile App Developer,8.67,98,6,1,1
2025CS10080,Student_80,"CI/CD, Linux, Git, Jenkins, Docker, AWS",DevOps Engineer,7.57,42,2,0,0
2025CS10081,Student_81,"Virtualization, Windows Server, Networking",System Administrator,8.62,82,1,2,1
2025CS10082,Student_82,"Algorithms, SQL, Git, C++",Software Engineer,6.76,43,3,3,0
2025CS10083,Student_83,"CI/CD, Bash Scripting, Linux, Git, Jenkins, AWS",DevOps Engineer,8.82,87,3,1,1
2025CS10084,Student_84,"Data Analysis, Agile, Communication, Product Management, Roadmapping, SQL",Product Manager,6.21,79,4,2,1
2025CS10085,Student_85,"Sketch, Adobe XD, CSS, HTML, User Research",UI/UX Designer,8.38,63,3,1,1
2025CS10086,Student_86,"Sketch, Adobe XD, Prototyping",UI/UX Designer,7.31,74,2,2,1
2025CS10087,Student_87,"Tableau, Statistics, Python",Data Analyst,9.56,94,5,3,1
2025CS10088,Student_88,"CI/CD, Docker, Kubernetes",DevOps Engineer,6.11,88,1,3,1
2025CS10089,Student_89,"NumPy, Deep Learning, Python, PyTorch, Scikit-learn, Tableau",Data Scientist,7.21,74,4,0,1
2025CS10090,Student_90,"Sketch, Adobe XD, CSS, HTML, Prototyping, Figma",UI/UX Designer,8.61,86,1,2,1
2025CS10091,Student_91,"Redux, Angular, React",Frontend Developer,7.71,40,3,1,0
2025CS10092,Student_92,"Java, Spring Boot, NoSQL, MongoDB, SQL, Express.js",Backend Developer,6.37,53,2,3,0
2025CS10093,Student_93,"NumPy, Statistics, Deep Learning, Python, TensorFlow, Scikit-learn",Data Scientist,9.87,53,6,3,1
2025CS10094,Student_94,"Python, Pandas, Scikit-learn, Tableau, SQL",Data Scientist,9.83,92,2,1,1
2025CS10095,Student_95,"Java, Kotlin, Android Studio, React Native",Mobile App Developer,9.57,86,6,2,1
2025CS10096,Student_96,"Tableau, NumPy, TensorFlow, Data Science",Data Scientist,7.79,86,4,3,1
2025CS10097,Student_97,"Java, iOS Development, Kotlin, Swift, React Native",Mobile App Developer,7.66,71,6,2,1
2025CS10098,Student_98,"Linux, Azure, AWS",System Administrator,6.91,48,3,0,0
2025CS10099,Student_99,"React, HTML, Node.js, MongoDB, SQL, Express.js",Full Stack Developer,9.3,71,0,0,0
2025CS10100,Student_100,"Sketch, SQL, CSS, Prototyping",UI/UX Designer,7.15,76,0,2,1
2025CS10101,Student_101,"Linux, AWS, MLOps, Networking",System Administrator,6.01,50,2,2,0
2025CS10102,Student_102,"Flutter, Android Studio, Kotlin, Swift, React Native",Mobile App Developer,9.18,61,2,0,0
2025CS10103,Student_103,"Python, TensorFlow, MLOps, Docker, Machine Learning",Machine Learning Engineer,8.8,59,5,1,1
2025CS10104,Student_104,"Manual Testing, Java, Selenium",QA Engineer,9.47,59,2,0,0
2025CS10105,Student_105,"Python, Power BI, Statistics, Data Science",Data Analyst,8.39,78,1,1,1
2025CS10106,Student_106,"Data Analysis, JIRA, Agile, Product Management, SQL",Product Manager,7.83,74,5,0,1
2025CS10107,Student_107,"Flutter, Java, Android Studio, iOS Development, Kotlin, React Native",Mobile App Developer,7.86,98,3,1,1
2025CS10108,Student_108,"Django, Node.js, NoSQL, Express.js, PostgreSQL",Backend Developer,6.91,52,0,1,0
2025CS10109,Student_109,"Tailwind CSS, JavaScript, React, Angular",Frontend Developer,7.73,41,6,2,1
2025CS10110,Student_110,"JIRA, Agile, Communication, Product Management, SQL",Product Manager,6.35,96,2,0,1
2025CS10111,Student_111,"Adobe XD, CSS, Figma, HTML, Wireframing, User Research",UI/UX Designer,6.4,71,4,1,0
2025CS10112,Student_112,"HTML, Git, Node.js",Full Stack Developer,6.17,91,0,0,0
2025CS10113,Student_113,"JIRA, Automation Testing, Manual Testing, SQL, Selenium",QA Engineer,6.14,96,5,0,1
2025CS10114,Student_114,"Agile, SQL, Product Management, Roadmapping",Product Manager,9.58,73,2,0,1
2025CS10115,Student_115,"System Design, Java, Python, C++, Algorithms, SQL, Data Structures",Software Engineer,6.91,84,0,0,0
2025CS10116,Student_116,"Manual Testing, Python, Java",QA Engineer,7.67,75,2,1,1
2025CS10117,Student_117,"Data Analysis, JIRA, Agile, Product Management, Roadmapping",Product Manager,6.68,98,2,2,1
2025CS10118,Student_118,"SQL, PostgreSQL, API Design",Backend Developer,8.72,85,3,2,1
2025CS10119,Student_119,"Flutter, Azure, Linux, Networking, Windows Server, Virtualization, AWS",System Administrator,8.95,48,6,3,1
2025CS10120,Student_120,"HTML, Sketch, Adobe XD, Prototyping",UI/UX Designer,7.97,72,5,1,1
2025CS10121,Student_121,"CI/CD, Azure, Bash Scripting, Git, Docker",DevOps Engineer,6.03,49,2,0,0
2025CS10122,Student_122,"Flutter, iOS Development, Android Studio, Swift",Mobile App Developer,6.14,88,0,1,0
2025CS10123,Student_123,"Django, MongoDB, Java, PostgreSQL",Backend Developer,6.06,49,5,3,0
2025CS10124,Student_124,"Redux, CSS, Angular",Frontend Developer,7.23,81,6,1,1
2025CS10125,Student_125,"Python, Statistics, Power BI, Data Science",Data Analyst,6.83,66,2,1,0
2025CS10126,Student_126,"Express.js, JavaScript, Node.js",Full Stack Developer,7.11,81,0,0,0
2025CS10127,Student_127,"System Design, Git, Data Structures",Software Engineer,9.17,86,3,0,1
2025CS10128,Student_128,"Tailwind CSS, Azure, Bash Scripting, Linux, Git",DevOps Engineer,9.5,76,2,2,1
2025CS10129,Student_129,"Spring Boot, Node.js, Express.js, PostgreSQL, API Design",Backend Developer,8.86,60,1,0,0
2025CS10130,Student_130,"Java, Android Studio, iOS Development, Kotlin, React Native",Mobile App Developer,7.08,95,6,3,1
2025CS10131,Student_131,"CSS, Figma, Prototyping, Wireframing, User Research",UI/UX Designer,7.35,87,2,0,1
2025CS10132,Student_132,"Java, Git, C++, SQL, Data Structures",Software Engineer,7.11,79,4,2,1
2025CS10133,Student_133,"Java, Python, Git, C++, Data Structures",Software Engineer,7.92,42,0,1,0
2025CS10134,Student_134,"Virtualization, Azure, AWS",System Administrator,9.12,50,3,1,1
2025CS10135,Student_135,"Flutter, Java, Android Studio, Kotlin, React Native",Mobile App Developer,6.75,98,5,2,1
2025CS10136,Student_136,"Power BI, Python, Data Science, Tableau, SQL",Data Analyst,8.89,66,4,2,1
2025CS10137,Student_137,"HTML, Express.js, JavaScript, Android Studio",Full Stack Developer,6.23,49,1,2,0
2025CS10138,Student_138,"Adobe XD, Figma, Prototyping, Wireframing, User Research",UI/UX Designer,7.85,62,5,1,1
2025CS10139,Student_139,"Java, JIRA, Linux, SQL, Selenium",QA Engineer,9.24,90,4,0,1
2025CS10140,Student_140,"CI/CD, AWS, Git, Docker, Kubernetes, Jenkins",DevOps Engineer,7.19,62,0,2,0
2025CS10141,Student_141,"Spring Boot, SQL, MongoDB, Express.js, PostgreSQL",Backend Developer,7.03,90,2,3,1
2025CS10142,Student_142,"Java, Python, Git, Algorithms, SQL, Data Structures",Software Engineer,7.07,83,4,2,1
2025CS10143,Student_143,"Kotlin, Java, Android Studio, React Native",Mobile App Developer,8.43,86,6,0,1
2025CS10144,Student_144,"Flutter, Java, Kotlin, Swift, React Native",Mobile App Developer,6.38,53,4,0,0
2025CS10145,Student_145,"Java, Python, Automation Testing, Manual Testing, SQL",QA Engineer,6.78,74,6,3,1
2025CS10146,Student_146,"R, SQL, Statistics, Excel",Data Analyst,8.34,79,2,1,1
2025CS10147,Student_147,"Deep Learning, Pandas, PyTorch, Data Science, Machine Learning, Tableau",Data Scientist,8.16,44,6,3,1
2025CS10148,Student_148,"Java, Python, Git, SQL, Data Structures",Software Engineer,7.82,69,2,2,1
2025CS10149,Student_149,"Azure, Networking, Windows Server, Bash, Virtualization, AWS",System Administrator,9.29,98,6,1,1
2025CS10150,Student_150,"Agile, SQL, Data Analysis, Roadmapping",Product Manager,9.43,67,5,1,1
2025CS10151,Student_151,"Deep Learning, Python, Data Science, Docker, MLOps, Machine Learning, AWS",Machine Learning Engineer,7.18,87,3,0,1
2025CS10152,Student_152,"Sketch, Adobe XD, CSS, HTML, Prototyping, Wireframing",UI/UX Designer,8.75,72,2,1,1
2025CS10153,Student_153,"Django, Java, Spring Boot, Node.js, NoSQL, SQL",Backend Developer,7.91,87,5,3,1
2025CS10154,Student_154,"Express.js, SQL, JavaScript, Node.js",Full Stack Developer,6.05,65,0,1,0
2025CS10155,Student_155,"Data Analysis, JIRA, Agile, Communication, Product Management, SQL",Product Manager,6.67,75,0,3,1
2025CS10156,Student_156,"Virtualization, Linux, Flask, Networking",System Administrator,6.7,97,1,3,1
2025CS10157,Student_157,"Bash Scripting, Docker, Linux",DevOps Engineer,6.22,78,0,2,0
2025CS10158,Student_158,"Sketch, Adobe XD, CSS, User Research, Prototyping, Figma",UI/UX Designer,6.09,59,0,2,0
2025CS10159,Student_159,"Java, Flask, MongoDB, Express.js, PostgreSQL",Backend Developer,6.71,94,1,1,1
2025CS10160,Student_160,"Python, TensorFlow, MLOps, Docker, AWS",Machine Learning Engineer,8.2,84,3,2,1
2025CS10161,Student_161,"CSS, Git, JavaScript, React, SQL",Full Stack Developer,9.02,41,3,1,0
2025CS10162,Student_162,"Manual Testing, SQL, Selenium",QA Engineer,6.98,93,0,0,0
2025CS10163,Student_163,"HTML, Vue.js, JavaScript",Frontend Developer,7.03,49,0,0,0
2025CS10164,Student_164,"Data Analysis, JIRA, Agile, Communication, Product Management, Roadmapping",Product Manager,6.43,46,4,1,0
2025CS10165,Student_165,"Azure, Linux, Networking, Windows Server, Virtualization",System Administrator,9.15,95,3,3,1
2025CS10166,Student_166,"Django, Spring Boot, Node.js, NoSQL, MongoDB, API Design",Backend Developer,6.37,46,5,3,0
2025CS10167,Student_167,"Deep Learning, Python, PyTorch, MLOps, AWS",Machine Learning Engineer,8.44,63,4,3,1
2025CS10168,Student_168,"Vue.js, Tailwind CSS, Redux, React, TypeScript, Angular",Frontend Developer,9.78,82,0,2,1
2025CS10169,Student_169,"Deep Learning, Python, PyTorch, TensorFlow, Machine Learning, AWS",Machine Learning Engineer,6.89,74,1,3,1
2025CS10170,Student_170,"Azure, Linux, Networking, Bash, Virtualization, AWS",System Administrator,6.68,70,1,2,0
2025CS10171,Student_171,"PyTorch, TensorFlow, Pandas, Tableau, SQL",Data Scientist,9.78,55,0,1,0
2025CS10172,Student_172,"Linux, Git, Jenkins",DevOps Engineer,6.8,58,5,2,1
2025CS10173,Student_173,"Tailwind CSS, JavaScript, React",Frontend Developer,6.65,91,1,1,1
2025CS10174,Student_174,"Flutter, Java, Kotlin, SQL, Swift",Mobile App Developer,9.81,55,0,2,1
2025CS10175,Student_175,"Java, JIRA, Automation Testing, SQL, Selenium",QA Engineer,8.01,54,3,3,1
2025CS10176,Student_176,"CI/CD, Docker, Git",DevOps Engineer,9.23,83,0,1,1
2025CS10177,Student_177,"Kubernetes, Git, AWS",DevOps Engineer,6.52,62,4,3,1
2025CS10178,Student_178,"NumPy, TensorFlow, Data Science, Machine Learning",Data Scientist,9.03,78,5,3,1
2025CS10179,Student_179,"Django, Flask, Node.js",Backend Developer,7.27,44,3,2,0
2025CS10180,Student_180,"Bash, Linux, Windows Server, Networking",System Administrator,7.34,83,0,0,0
2025CS10181,Student_181,"CI/CD, Bash Scripting, Git, Jenkins, Docker, AWS",DevOps Engineer,6.22,51,5,1,0
2025CS10182,Student_182,"Python, PyTorch, TensorFlow, Docker, MLOps, AWS",Machine Learning Engineer,8.81,82,5,0,1
2025CS10183,Student_183,"CI/CD, Azure, Linux, Bash Scripting, Kubernetes, Jenkins",DevOps Engineer,8.58,99,4,1,1
2025CS10184,Student_184,"Jenkins, Linux, Git, AWS",DevOps Engineer,8.8,86,1,2,1
2025CS10185,Student_185,"Flutter, Java, iOS Development, Swift, React Native",Mobile App Developer,7.11,96,4,1,1
2025CS10186,Student_186,"Data Analysis, JIRA, Agile, Product Management, Roadmapping, SQL",Product Manager,9.08,57,3,3,1
2025CS10187,Student_187,"Azure, Networking, Windows Server, Bash, Virtualization",System Administrator,7.42,88,6,0,1
2025CS10188,Student_188,"Python, PyTorch, Machine Learning, SQL, AWS",Machine Learning Engineer,9.61,81,6,2,1
2025CS10189,Student_189,"Flutter, Java, Android Studio, React Native",Mobile App Developer,6.71,40,4,2,0
2025CS10190,Student_190,"System Design, Java, Python, C++, SQL, Data Structures",Software Engineer,7.28,91,0,3,1
2025CS10191,Student_191,"Communication, Product Management, Roadmapping",Product Manager,6.93,87,5,1,1
2025CS10192,Student_192,"NumPy, Python, Pandas, Data Science, Scikit-learn, SQL",Data Scientist,6.94,64,3,0,0
2025CS10193,Student_193,"Communication, SQL, Product Management, Agile",Product Manager,8.66,52,0,2,0
2025CS10194,Student_194,"Power BI, Java, Python, Data Science, Tableau, Excel",Data Analyst,8.51,94,0,3,1
2025CS10195,Student_195,"Sketch, Adobe XD, CSS, Prototyping, Wireframing, Figma",UI/UX Designer,9.7,72,3,1,1
2025CS10196,Student_196,"Agile, Communication, Data Analysis, Roadmapping",Product Manager,8.81,52,5,0,1
2025CS10197,Student_197,"HTML, SQL, JavaScript, Node.js",Full Stack Developer,6.19,54,0,0,0
2025CS10198,Student_198,"SQL, JavaScript, CSS, React",Full Stack Developer,9.75,79,3,0,1
2025CS10199,Student_199,"Algorithms, Git, Java, Python",Software Engineer,6.5,94,4,2,1
2025CS10200,Student_200,"Azure, Linux, Networking, Windows Server, Bash, AWS",System Administrator,8.89,63,4,3,1
2025CS10201,Student_201,"NumPy, Python, Data Science, Machine Learning, SQL",Data Scientist,6.01,97,1,3,1
2025CS10202,Student_202,"System Design, Python, Java, C++",Software Engineer,7.37,83,4,2,1
2025CS10203,Student_203,"Python, SQL, Power BI, R",Data Analyst,8.99,51,5,0,1
2025CS10204,Student_204,"Django, Deep Learning, Spring Boot, SQL, MongoDB, Express.js",Backend Developer,6.71,66,5,1,1
2025CS10205,Student_205,"NumPy, Deep Learning, Python, PyTorch, TensorFlow, Machine Learning",Data Scientist,8.73,72,3,0,1
2025CS10206,Student_206,"Redux, Vue.js, Tailwind CSS, Angular",Frontend Developer,8.21,50,5,1,1
2025CS10207,Student_207,"Data Analysis, JIRA, Agile, Communication, Roadmapping, SQL",Product Manager,6.15,83,4,3,1
2025CS10208,Student_208,"Virtualization, Linux, Networking",System Administrator,6.19,82,2,0,0
2025CS10209,Student_209,"Java, JIRA, Python, Automation Testing, Selenium",QA Engineer,8.46,74,4,2,1
2025CS10210,Student_210,"Deep Learning, PyTorch, TensorFlow, Docker, AWS",Machine Learning Engineer,8.54,59,5,2,1
2025CS10211,Student_211,"iOS Development, Android Studio, React Native",Mobile App Developer,7.34,89,1,2,1
2025CS10212,Student_212,"System Design, HTML, C++, SQL, Data Structures",Software Engineer,9.46,47,2,3,1
2025CS10213,Student_213,"Vue.js, Tailwind CSS, JavaScript, Git, TypeScript",Frontend Developer,9.16,53,3,0,0
2025CS10214,Student_214,"Wireframing, HTML, CSS, Prototyping",UI/UX Designer,9.57,80,2,2,1
2025CS10215,Student_215,"Kotlin, MongoDB, SQL, JavaScript",Full Stack Developer,7.06,52,5,1,0
2025CS10216,Student_216,"Django, SQL, Flask, NoSQL",Backend Developer,8.82,49,5,1,1
2025CS10217,Student_217,"Spring Boot, MongoDB, Flask, NoSQL",Backend Developer,8.09,44,4,3,1
2025CS10218,Student_218,"Communication, SQL, Agile",Product Manager,9.77,49,4,1,1
2025CS10219,Student_219,"Azure, TensorFlow, Windows Server, Virtualization, AWS",System Administrator,8.73,45,5,1,1
2025CS10220,Student_220,"HTML, Vue.js, TypeScript, Angular",Frontend Developer,9.73,74,4,1,1
2025CS10221,Student_221,"Flutter, Java, Android Studio, Kotlin, React Native",Mobile App Developer,6.13,57,1,2,0
2025CS10222,Student_222,"HTML, Wireframing, Adobe XD, CSS",UI/UX Designer,7.45,98,0,0,1
2025CS10223,Student_223,"Bash, Virtualization, Linux, Azure",System Administrator,9.73,44,1,2,1
2025CS10224,Student_224,"SQL, Product Management, Agile",Product Manager,6.15,58,1,3,0
2025CS10225,Student_225,"Redux, HTML, CSS, React",Frontend Developer,6.0,64,6,3,1
2025CS10226,Student_226,"R, Statistics, Python, Git, SQL, Excel",Data Analyst,7.43,91,6,3,1
2025CS10227,Student_227,"iOS Development, Java, Swift, React Native",Mobile App Developer,6.42,75,3,0,0
2025CS10228,Student_228,"Flutter, Java, Android Studio, Kotlin, React Native",Mobile App Developer,7.15,71,1,2,1
2025CS10229,Student_229,"JIRA, SQL, Java",QA Engineer,6.91,42,4,0,0
2025CS10230,Student_230,"SQL, Product Management, Roadmapping",Product Manager,8.61,84,2,3,1
2025CS10231,Student_231,"NumPy, Deep Learning, Python, TensorFlow, Scikit-learn, Tableau",Data Scientist,9.27,95,6,1,1
2025CS10232,Student_232,"Data Analysis, Agile, Product Management, Roadmapping, SQL",Product Manager,7.98,94,4,3,1
2025CS10233,Student_233,"CI/CD, Azure, Linux, Docker, Kubernetes, AWS",DevOps Engineer,6.2,62,4,3,1
2025CS10234,Student_234,"Vue.js, Tailwind CSS, CSS, Redux, JavaScript, HTML",Frontend Developer,8.28,68,5,0,1
2025CS10235,Student_235,"System Design, Python, Java",Software Engineer,8.4,92,1,2,1
2025CS10236,Student_236,"Java, Spring Boot, SQL, Node.js, Express.js, PostgreSQL",Backend Developer,6.57,77,1,2,1
2025CS10237,Student_237,"NumPy, Python, PyTorch, Tableau, SQL",Data Scientist,8.98,91,3,0,1
2025CS10238,Student_238,"JIRA, Python, Automation Testing, Manual Testing, SQL",QA Engineer,9.75,59,4,2,1
2025CS10239,Student_239,"Java, Git, C++, Algorithms, Data Structures",Software Engineer,7.97,77,0,3,1
2025CS10240,Student_240,"Java, Android Studio, iOS Development, Swift, React Native",Mobile App Developer,7.4,76,5,1,1
2025CS10241,Student_241,"JIRA, Agile, Communication, Product Management, Roadmapping, SQL",Product Manager,6.16,72,2,1,0
2025CS10242,Student_242,"JavaScript, React, HTML, Node.js, MongoDB, SQL",Full Stack Developer,8.9,67,6,1,1
2025CS10243,Student_243,"R, Statistics, Data Science, Tableau, SQL, Excel",Data Analyst,8.76,50,6,3,1
2025CS10244,Student_244,"Data Analysis, JIRA, Agile, Communication, Product Management, SQL",Product Manager,9.54,78,1,1,1
2025CS10245,Student_245,"JIRA, Communication, Data Analysis, Roadmapping",Product Manager,7.38,87,0,1,1
2025CS10246,Student_246,"HTML, Vue.js, TypeScript, Angular",Frontend Developer,6.9,41,0,0,0
2025CS10247,Student_247,"PyTorch, TensorFlow, Deep Learning, Machine Learning",Machine Learning Engineer,6.64,94,6,0,1
2025CS10248,Student_248,"iOS Development, Java, Kotlin, Android Studio",Mobile App Developer,6.53,82,2,2,1
2025CS10249,Student_249,"Bash, Virtualization, Linux, Azure",System Administrator,7.48,41,0,1,0
